50*#
START: 20230802 00:00:00 US/Eastern END: 20230911 00:00:00 US/Eastern
20230911, TimePassed: 38 days, 9:00:00, reqId: 419, Date: 20230803 15:00:00 US/Eastern, O: 4532.25, H: 4532.75, L: 4519.75, C 4520.25
20230911, TimePassed: 38 days, 8:00:00, reqId: 419, Date: 20230803 16:00:00 US/Eastern, O: 4520.25, H: 4543.75, L: 4517.5, C 4525.0
20230911, TimePassed: 38 days, 6:00:00, reqId: 419, Date: 20230803 18:00:00 US/Eastern, O: 4524.0, H: 4532.5, L: 4522.0, C 4530.75
20230911, TimePassed: 38 days, 5:00:00, reqId: 419, Date: 20230803 19:00:00 US/Eastern, O: 4531.0, H: 4534.25, L: 4527.25, C 4530.75
20230911, TimePassed: 38 days, 4:00:00, reqId: 419, Date: 20230803 20:00:00 US/Eastern, O: 4530.5, H: 4537.0, L: 4527.5, C 4537.0
20230911, TimePassed: 38 days, 3:00:00, reqId: 419, Date: 20230803 21:00:00 US/Eastern, O: 4537.0, H: 4540.75, L: 4534.5, C 4537.0
20230911, TimePassed: 38 days, 2:00:00, reqId: 419, Date: 20230803 22:00:00 US/Eastern, O: 4537.0, H: 4540.0, L: 4532.5, C 4535.25
20230911, TimePassed: 38 days, 1:00:00, reqId: 419, Date: 20230803 23:00:00 US/Eastern, O: 4535.5, H: 4539.5, L: 4534.75, C 4536.25
20230911, TimePassed: 38 days, 0:00:00, reqId: 419, Date: 20230804 00:00:00 US/Eastern, O: 4536.25, H: 4538.25, L: 4536.0, C 4537.25
20230911, TimePassed: 37 days, 23:00:00, reqId: 419, Date: 20230804 01:00:00 US/Eastern, O: 4537.25, H: 4545.0, L: 4536.25, C 4543.75
20230911, TimePassed: 37 days, 22:00:00, reqId: 419, Date: 20230804 02:00:00 US/Eastern, O: 4543.75, H: 4544.5, L: 4540.25, C 4540.75
20230911, TimePassed: 37 days, 21:00:00, reqId: 419, Date: 20230804 03:00:00 US/Eastern, O: 4541.0, H: 4542.25, L: 4530.25, C 4541.5
20230911, TimePassed: 37 days, 20:00:00, reqId: 419, Date: 20230804 04:00:00 US/Eastern, O: 4541.5, H: 4547.0, L: 4536.75, C 4539.0
20230911, TimePassed: 37 days, 19:00:00, reqId: 419, Date: 20230804 05:00:00 US/Eastern, O: 4538.75, H: 4544.0, L: 4537.75, C 4538.5
20230911, TimePassed: 37 days, 18:00:00, reqId: 419, Date: 20230804 06:00:00 US/Eastern, O: 4538.5, H: 4538.75, L: 4529.5, C 4530.75
20230911, TimePassed: 37 days, 17:00:00, reqId: 419, Date: 20230804 07:00:00 US/Eastern, O: 4531.0, H: 4531.25, L: 4519.5, C 4524.0
20230911, TimePassed: 37 days, 16:00:00, reqId: 419, Date: 20230804 08:00:00 US/Eastern, O: 4524.25, H: 4540.75, L: 4514.25, C 4536.75
20230911, TimePassed: 37 days, 15:00:00, reqId: 419, Date: 20230804 09:00:00 US/Eastern, O: 4536.75, H: 4550.75, L: 4533.0, C 4534.25
20230911, TimePassed: 37 days, 14:00:00, reqId: 419, Date: 20230804 10:00:00 US/Eastern, O: 4534.5, H: 4546.0, L: 4518.75, C 4544.5
20230911, TimePassed: 37 days, 13:00:00, reqId: 419, Date: 20230804 11:00:00 US/Eastern, O: 4544.75, H: 4551.0, L: 4542.75, C 4550.0
20230911, TimePassed: 37 days, 12:00:00, reqId: 419, Date: 20230804 12:00:00 US/Eastern, O: 4550.0, H: 4560.75, L: 4546.75, C 4559.0
20230911, TimePassed: 37 days, 11:00:00, reqId: 419, Date: 20230804 13:00:00 US/Eastern, O: 4559.25, H: 4559.75, L: 4537.5, C 4539.25
20230911, TimePassed: 37 days, 10:00:00, reqId: 419, Date: 20230804 14:00:00 US/Eastern, O: 4539.0, H: 4539.0, L: 4498.75, C 4502.0
20230911, TimePassed: 37 days, 9:00:00, reqId: 419, Date: 20230804 15:00:00 US/Eastern, O: 4502.0, H: 4508.5, L: 4493.25, C 4499.25
20230911, TimePassed: 37 days, 8:00:00, reqId: 419, Date: 20230804 16:00:00 US/Eastern, O: 4499.25, H: 4502.75, L: 4497.5, C 4498.25
