50*#
START: 20230804 00:00:00 US/Eastern END: 20230913 00:00:00 US/Eastern
50*#20230913, TimePassed: 40 days, 0:00:00, reqId: 419, Date: 20230804 00:00:00 US/Eastern, O: 4585.25, H: 4587.25, L: 4585.0, C 4586.25
20230913, TimePassed: 39 days, 23:00:00, reqId: 419, Date: 20230804 01:00:00 US/Eastern, O: 4586.25, H: 4594.0, L: 4585.25, C 4592.75
20230913, TimePassed: 39 days, 22:00:00, reqId: 419, Date: 20230804 02:00:00 US/Eastern, O: 4592.75, H: 4593.5, L: 4589.25, C 4589.75
20230913, TimePassed: 39 days, 21:00:00, reqId: 419, Date: 20230804 03:00:00 US/Eastern, O: 4590.0, H: 4591.25, L: 4579.25, C 4590.5
20230913, TimePassed: 39 days, 20:00:00, reqId: 419, Date: 20230804 04:00:00 US/Eastern, O: 4590.5, H: 4596.25, L: 4585.75, C 4588.0
20230913, TimePassed: 39 days, 19:00:00, reqId: 419, Date: 20230804 05:00:00 US/Eastern, O: 4587.75, H: 4593.0, L: 4586.75, C 4587.5
20230913, TimePassed: 39 days, 18:00:00, reqId: 419, Date: 20230804 06:00:00 US/Eastern, O: 4587.5, H: 4587.75, L: 4578.5, C 4579.75
20230913, TimePassed: 39 days, 17:00:00, reqId: 419, Date: 20230804 07:00:00 US/Eastern, O: 4580.0, H: 4580.25, L: 4568.25, C 4573.0
20230913, TimePassed: 39 days, 16:00:00, reqId: 419, Date: 20230804 08:00:00 US/Eastern, O: 4573.25, H: 4589.75, L: 4563.0, C 4585.75
20230913, TimePassed: 39 days, 15:00:00, reqId: 419, Date: 20230804 09:00:00 US/Eastern, O: 4585.75, H: 4600.0, L: 4582.0, C 4583.25
20230913, TimePassed: 39 days, 14:00:00, reqId: 419, Date: 20230804 10:00:00 US/Eastern, O: 4583.5, H: 4595.0, L: 4567.5, C 4593.5
20230913, TimePassed: 39 days, 13:00:00, reqId: 419, Date: 20230804 11:00:00 US/Eastern, O: 4593.75, H: 4600.25, L: 4591.75, C 4599.25
20230913, TimePassed: 39 days, 12:00:00, reqId: 419, Date: 20230804 12:00:00 US/Eastern, O: 4599.25, H: 4610.0, L: 4596.0, C 4608.25
20230913, TimePassed: 39 days, 11:00:00, reqId: 419, Date: 20230804 13:00:00 US/Eastern, O: 4608.5, H: 4609.0, L: 4586.5, C 4588.25
20230913, TimePassed: 39 days, 10:00:00, reqId: 419, Date: 20230804 14:00:00 US/Eastern, O: 4588.0, H: 4588.0, L: 4547.25, C 4550.75
20230913, TimePassed: 39 days, 9:00:00, reqId: 419, Date: 20230804 15:00:00 US/Eastern, O: 4550.75, H: 4557.25, L: 4541.75, C 4547.75
20230913, TimePassed: 39 days, 8:00:00, reqId: 419, Date: 20230804 16:00:00 US/Eastern, O: 4547.75, H: 4551.5, L: 4546.0, C 4546.75
20230913, TimePassed: 37 days, 6:00:00, reqId: 419, Date: 20230806 18:00:00 US/Eastern, O: 4548.75, H: 4556.0, L: 4548.25, C 4555.25
20230913, TimePassed: 37 days, 5:00:00, reqId: 419, Date: 20230806 19:00:00 US/Eastern, O: 4555.25, H: 4556.5, L: 4552.0, C 4555.75
20230913, TimePassed: 37 days, 4:00:00, reqId: 419, Date: 20230806 20:00:00 US/Eastern, O: 4556.0, H: 4561.75, L: 4555.25, C 4561.25
20230913, TimePassed: 37 days, 3:00:00, reqId: 419, Date: 20230806 21:00:00 US/Eastern, O: 4561.25, H: 4563.25, L: 4558.0, C 4562.75
20230913, TimePassed: 37 days, 2:00:00, reqId: 419, Date: 20230806 22:00:00 US/Eastern, O: 4562.75, H: 4565.25, L: 4562.25, C 4564.5
20230913, TimePassed: 37 days, 1:00:00, reqId: 419, Date: 20230806 23:00:00 US/Eastern, O: 4564.5, H: 4565.75, L: 4563.5, C 4564.25
20230913, TimePassed: 37 days, 0:00:00, reqId: 419, Date: 20230807 00:00:00 US/Eastern, O: 4564.25, H: 4564.5, L: 4561.0, C 4562.25
20230913, TimePassed: 36 days, 23:00:00, reqId: 419, Date: 20230807 01:00:00 US/Eastern, O: 4562.5, H: 4565.0, L: 4560.25, C 4563.75
20230913, TimePassed: 36 days, 22:00:00, reqId: 419, Date: 20230807 02:00:00 US/Eastern, O: 4563.75, H: 4565.25, L: 4558.0, C 4560.5
