50*#
START: 20230425 00:00:00 US/Central END: 20230515 00:00:00 US/Central
reqId: 419, Date: 20230427 09:00:00 US/Central, O: 4105.5, H: 4116.0, L: 4104.0, C 4106.75
reqId: 419, Date: 20230427 10:00:00 US/Central, O: 4107.0, H: 4123.0, L: 4104.25, C 4122.0
reqId: 419, Date: 20230427 11:00:00 US/Central, O: 4121.75, H: 4128.75, L: 4121.75, C 4127.75
reqId: 419, Date: 20230427 12:00:00 US/Central, O: 4128.0, H: 4142.5, L: 4126.5, C 4138.0
reqId: 419, Date: 20230427 13:00:00 US/Central, O: 4138.0, H: 4155.75, L: 4137.75, C 4155.5
reqId: 419, Date: 20230427 14:00:00 US/Central, O: 4155.5, H: 4157.75, L: 4151.25, C 4154.0
reqId: 419, Date: 20230427 15:00:00 US/Central, O: 4154.0, H: 4168.0, L: 4148.25, C 4158.0
reqId: 419, Date: 20230427 17:00:00 US/Central, O: 4151.75, H: 4152.75, L: 4147.5, C 4149.75
reqId: 419, Date: 20230427 18:00:00 US/Central, O: 4149.5, H: 4152.75, L: 4148.25, C 4148.75
reqId: 419, Date: 20230427 19:00:00 US/Central, O: 4148.75, H: 4150.25, L: 4147.0, C 4148.25
reqId: 419, Date: 20230427 20:00:00 US/Central, O: 4148.5, H: 4154.25, L: 4145.0, C 4152.0
reqId: 419, Date: 20230427 21:00:00 US/Central, O: 4152.0, H: 4154.0, L: 4150.5, C 4152.75
reqId: 419, Date: 20230427 22:00:00 US/Central, O: 4152.75, H: 4153.0, L: 4147.25, C 4148.25
reqId: 419, Date: 20230427 23:00:00 US/Central, O: 4148.25, H: 4151.5, L: 4147.75, C 4149.5
reqId: 419, Date: 20230428 00:00:00 US/Central, O: 4149.25, H: 4155.5, L: 4147.25, C 4153.25
reqId: 419, Date: 20230428 01:00:00 US/Central, O: 4153.5, H: 4153.5, L: 4145.0, C 4145.5
reqId: 419, Date: 20230428 02:00:00 US/Central, O: 4145.5, H: 4147.75, L: 4140.5, C 4142.0
reqId: 419, Date: 20230428 03:00:00 US/Central, O: 4142.25, H: 4143.0, L: 4133.75, C 4135.5
reqId: 419, Date: 20230428 04:00:00 US/Central, O: 4135.5, H: 4141.0, L: 4131.75, C 4139.0
reqId: 419, Date: 20230428 05:00:00 US/Central, O: 4139.0, H: 4141.25, L: 4136.5, C 4137.0
reqId: 419, Date: 20230428 06:00:00 US/Central, O: 4136.75, H: 4143.0, L: 4136.5, C 4137.75
reqId: 419, Date: 20230428 07:00:00 US/Central, O: 4137.75, H: 4146.0, L: 4135.0, C 4143.0
reqId: 419, Date: 20230428 08:00:00 US/Central, O: 4143.0, H: 4157.5, L: 4142.5, C 4155.0
reqId: 419, Date: 20230428 09:00:00 US/Central, O: 4155.0, H: 4178.25, L: 4152.0, C 4162.0
reqId: 419, Date: 20230428 10:00:00 US/Central, O: 4162.25, H: 4179.0, L: 4152.75, C 4177.75
reqId: 419, Date: 20230428 11:00:00 US/Central, O: 4177.75, H: 4185.75, L: 4173.75, C 4184.75
reqId: 419, Date: 20230428 12:00:00 US/Central, O: 4184.75, H: 4185.75, L: 4175.75, C 4179.75
reqId: 419, Date: 20230428 13:00:00 US/Central, O: 4179.75, H: 4185.25, L: 4171.25, C 4178.25
reqId: 419, Date: 20230428 14:00:00 US/Central, O: 4178.25, H: 4190.0, L: 4176.5, C 4189.5
reqId: 419, Date: 20230428 15:00:00 US/Central, O: 4189.5, H: 4193.75, L: 4188.25, C 4190.75
reqId: 419, Date: 20230430 17:00:00 US/Central, O: 4189.5, H: 4191.25, L: 4182.75, C 4184.25
reqId: 419, Date: 20230430 18:00:00 US/Central, O: 4184.5, H: 4186.75, L: 4181.5, C 4182.5
reqId: 419, Date: 20230430 19:00:00 US/Central, O: 4182.5, H: 4187.75, L: 4181.0, C 4187.0
reqId: 419, Date: 20230430 20:00:00 US/Central, O: 4187.25, H: 4188.25, L: 4185.0, C 4186.0
reqId: 419, Date: 20230430 21:00:00 US/Central, O: 4186.0, H: 4191.75, L: 4185.75, C 4191.5
reqId: 419, Date: 20230430 22:00:00 US/Central, O: 4191.25, H: 4193.0, L: 4189.25, C 4191.25
reqId: 419, Date: 20230430 23:00:00 US/Central, O: 4191.25, H: 4192.0, L: 4190.0, C 4191.5
reqId: 419, Date: 20230501 00:00:00 US/Central, O: 4191.25, H: 4195.25, L: 4189.5, C 4192.5
reqId: 419, Date: 20230501 01:00:00 US/Central, O: 4192.25, H: 4196.75, L: 4188.5, C 4194.5
reqId: 419, Date: 20230501 02:00:00 US/Central, O: 4194.5, H: 4195.0, L: 4189.5, C 4191.0
reqId: 419, Date: 20230501 03:00:00 US/Central, O: 4191.0, H: 4191.5, L: 4184.75, C 4186.5
reqId: 419, Date: 20230501 04:00:00 US/Central, O: 4186.25, H: 4191.25, L: 4186.25, C 4189.5
reqId: 419, Date: 20230501 05:00:00 US/Central, O: 4189.5, H: 4190.5, L: 4185.5, C 4188.25
reqId: 419, Date: 20230501 06:00:00 US/Central, O: 4188.5, H: 4189.0, L: 4183.25, C 4184.25
reqId: 419, Date: 20230501 07:00:00 US/Central, O: 4184.0, H: 4188.0, L: 4182.25, C 4187.0
reqId: 419, Date: 20230501 08:00:00 US/Central, O: 4186.75, H: 4197.25, L: 4181.5, C 4194.0
reqId: 419, Date: 20230501 09:00:00 US/Central, O: 4193.75, H: 4200.5, L: 4187.5, C 4199.75
reqId: 419, Date: 20230501 10:00:00 US/Central, O: 4199.5, H: 4201.75, L: 4185.25, C 4193.25
reqId: 419, Date: 20230501 11:00:00 US/Central, O: 4193.25, H: 4206.25, L: 4192.75, C 4201.75
reqId: 419, Date: 20230501 12:00:00 US/Central, O: 4201.75, H: 4203.5, L: 4196.0, C 4200.25
reqId: 419, Date: 20230501 13:00:00 US/Central, O: 4200.5, H: 4201.25, L: 4184.0, C 4190.5
reqId: 419, Date: 20230501 14:00:00 US/Central, O: 4190.5, H: 4192.0, L: 4182.25, C 4184.75
reqId: 419, Date: 20230501 15:00:00 US/Central, O: 4184.5, H: 4188.75, L: 4178.5, C 4180.0
reqId: 419, Date: 20230501 17:00:00 US/Central, O: 4179.5, H: 4181.0, L: 4177.0, C 4179.25
reqId: 419, Date: 20230501 18:00:00 US/Central, O: 4179.25, H: 4181.0, L: 4178.5, C 4179.25
reqId: 419, Date: 20230501 19:00:00 US/Central, O: 4179.0, H: 4181.75, L: 4176.0, C 4177.5
reqId: 419, Date: 20230501 20:00:00 US/Central, O: 4177.25, H: 4183.75, L: 4177.0, C 4180.75
reqId: 419, Date: 20230501 21:00:00 US/Central, O: 4181.0, H: 4182.25, L: 4178.75, C 4182.25
reqId: 419, Date: 20230501 22:00:00 US/Central, O: 4182.25, H: 4184.25, L: 4182.0, C 4184.25
reqId: 419, Date: 20230501 23:00:00 US/Central, O: 4184.25, H: 4185.5, L: 4182.25, C 4184.25
reqId: 419, Date: 20230502 00:00:00 US/Central, O: 4184.0, H: 4187.5, L: 4183.5, C 4185.0
reqId: 419, Date: 20230502 01:00:00 US/Central, O: 4184.75, H: 4189.0, L: 4182.5, C 4187.75
